2018-07-12T14:08:22.091Z info: Init for 173
2018-07-12T14:08:22.491Z info: Printer status : idle

2018-07-12T14:08:28.572Z info: Printer status : idle

2018-07-12T14:08:34.529Z info: Printer status : idle

2018-07-12T14:08:40.581Z info: Printer status : idle

2018-07-12T14:08:46.633Z info: Printer status : idle

2018-07-12T14:08:52.610Z info: Printer status : idle

2018-07-12T14:08:58.658Z info: Printer status : idle

2018-07-12T14:09:04.673Z info: Printer status : idle

2018-07-12T14:09:10.720Z info: Printer status : idle

2018-07-12T14:09:16.742Z info: Printer status : idle

2018-07-12T14:09:22.758Z info: Printer status : idle

2018-07-12T14:09:28.728Z info: Printer status : idle

2018-07-12T14:09:34.742Z info: Printer status : idle

2018-07-12T14:09:40.763Z info: Printer status : idle

2018-07-12T14:09:46.778Z info: Printer status : idle

2018-07-12T14:09:52.834Z info: Printer status : idle

